,Country Name,Country Code,HDI,GDPpc
0,Afghanistan,AFG,0.4,23384.3
1,Angola,AGO,0.36,1360.88
2,Albania,ALB,0.63,516.75
3,United Arab Emirates,ARE,0.67,1709.76
4,Argentina,ARG,0.6,1631.43
5,Armenia,ARM,0.58,5332.16
6,Antigua and Barbuda,ATG,0.6,37416.7
7,Australia,AUS,0.77,5724.29
8,Austria,AUT,0.75,36284.56
9,Azerbaijan,AZE,0.58,8585.69
10,Burundi,BDI,0.39,4266.02
11,Belgium,BEL,0.76,12844.9
12,Benin,BEN,0.4,13992.74
13,Burkina Faso,BFA,0.38,51680.32
14,Bangladesh,BGD,0.46,48588.66
15,Bulgaria,BGR,0.61,4229.91
16,Bahrain,BHR,0.65,233.84
17,Bosnia and Herzegovina,BIH,0.58,45189.37
18,Belarus,BLR,0.7,1291.04
19,Brazil,BRA,0.55,857.93
20,Brunei Darussalam,BRN,0.63,2270.35
21,Bhutan,BTN,0.48,10079.2
22,Botswana,BWA,0.41,20406.5
23,Central African Republic,CAF,0.29,24665.1
24,Canada,CAN,0.8,6082.37
25,Switzerland,CHE,0.76,6555.43
26,Chile,CHL,0.65,3987.8
27,China,CHN,0.65,107706.04
28,Cote d'Ivoire,CIV,0.38,3137.99
29,Cameroon,CMR,0.4,6814.88
30,"Congo, Dem. Rep.",COD,0.37,16318.75
31,"Congo, Rep.",COG,0.42,27442.95
32,Colombia,COL,0.6,3000.78
33,Comoros,COM,0.4,6348.83
34,Costa Rica,CRI,0.63,481.75
35,Cyprus,CYP,0.76,43258.26
36,Czech Republic,CZE,0.75,16197.3
37,Germany,DEU,0.75,87100.41
38,Denmark,DNK,0.76,13220.57
39,Dominican Republic,DOM,0.5,10408.67
40,Algeria,DZA,0.53,2325.72
41,Ecuador,ECU,0.59,1537.13
42,"Egypt, Arab Rep.",EGY,0.49,543.95
43,Spain,ESP,0.73,1899.78
44,Estonia,EST,0.78,5312.2
45,Ethiopia,ETH,0.38,1407.41
46,Finland,FIN,0.8,3064.27
47,Fiji,FJI,0.51,12201.93
48,France,FRA,0.76,8857.87
49,"Micronesia, Fed. Sts.",FSM,0.51,9477.85
50,Gabon,GAB,0.46,16109.86
51,United Kingdom,GBR,0.78,85346.76
52,Georgia,GEO,0.57,27681.57
53,Ghana,GHA,0.45,22933.5
54,Guinea,GIN,0.37,46252.69
55,"Gambia, The",GMB,0.42,3219.7
56,Greece,GRC,0.69,7003.86
57,Grenada,GRD,0.57,61063.32
58,Guatemala,GTM,0.46,7268.2
59,Guyana,GUY,0.5,3306.86
