,Country Name,Country Code,HDI,GDPpc
0,Afghanistan,AFG,0.4,516.75
1,Angola,AGO,0.36,1631.43
2,Albania,ALB,0.63,5332.16
3,United Arab Emirates,ARE,0.67,36284.56
4,Argentina,ARG,0.6,8585.69
5,Armenia,ARM,0.58,4266.02
6,Antigua and Barbuda,ATG,0.6,13992.74
7,Australia,AUS,0.77,51680.32
8,Austria,AUT,0.75,48588.66
9,Azerbaijan,AZE,0.58,4229.91
10,Burundi,BDI,0.39,233.84
11,Belgium,BEL,0.76,45189.37
12,Benin,BEN,0.4,1291.04
13,Burkina Faso,BFA,0.38,857.93
14,Bangladesh,BGD,0.46,2270.35
15,Bulgaria,BGR,0.61,10079.2
16,Bahrain,BHR,0.65,20406.5
17,Bosnia and Herzegovina,BIH,0.58,6082.37
18,Belarus,BLR,0.7,6555.43
19,Brazil,BRA,0.55,6814.88
20,Brunei Darussalam,BRN,0.63,27442.95
21,Bhutan,BTN,0.48,3000.78
22,Botswana,BWA,0.41,6348.83
23,Central African Republic,CAF,0.29,481.75
24,Canada,CAN,0.8,43258.26
25,Switzerland,CHE,0.76,87100.41
26,Chile,CHL,0.65,13220.57
27,China,CHN,0.65,10408.67
28,Cote d'Ivoire,CIV,0.38,2325.72
29,Cameroon,CMR,0.4,1537.13
30,"Congo, Dem. Rep.",COD,0.37,543.95
31,"Congo, Rep.",COG,0.42,1899.78
32,Colombia,COL,0.6,5312.2
33,Comoros,COM,0.4,1407.41
34,Costa Rica,CRI,0.63,12201.93
35,Cyprus,CYP,0.76,27681.57
36,Czech Republic,CZE,0.75,22933.5
37,Germany,DEU,0.75,46252.69
38,Dominica,DMA,0.54,7003.86
39,Denmark,DNK,0.76,61063.32
40,Dominican Republic,DOM,0.5,7268.2
41,Algeria,DZA,0.53,3306.86
42,Ecuador,ECU,0.59,5627.77
43,"Egypt, Arab Rep.",EGY,0.49,3569.21
44,Spain,ESP,0.73,27056.42
45,Estonia,EST,0.78,23054.36
46,Ethiopia,ETH,0.38,936.45
47,Finland,FIN,0.8,49160.84
48,Fiji,FJI,0.51,5102.84
49,France,FRA,0.76,39037.12
50,"Micronesia, Fed. Sts.",FSM,0.51,3542.97
51,Gabon,GAB,0.46,6881.71
52,United Kingdom,GBR,0.78,41098.08
53,Georgia,GEO,0.57,4255.74
54,Ghana,GHA,0.45,2254.15
55,Guinea,GIN,0.37,1078.95
56,"Gambia, The",GMB,0.42,757.41
57,Greece,GRC,0.69,17647.23
58,Grenada,GRD,0.57,9273.2
59,Guatemala,GTM,0.46,4603.34
60,Guyana,GUY,0.5,6955.94
61,"Hong Kong SAR, China",HKG,0.81,46100.98
62,Honduras,HND,0.48,2405.73
63,Croatia,HRV,0.71,14132.49
64,Haiti,HTI,0.45,1272.37
65,Hungary,HUN,0.68,16075.97
66,Indonesia,IDN,0.54,3870.56
67,India,IND,0.49,1933.1
68,Ireland,IRL,0.79,85422.54
69,"Iran, Islamic Rep.",IRN,0.59,2756.75
70,Iraq,IRQ,0.41,4583.75
71,Iceland,ISL,0.75,59264.03
72,Israel,ISR,0.73,44177.57
73,Italy,ITA,0.73,31834.97
74,Jamaica,JAM,0.53,4664.53
75,Jordan,JOR,0.55,4282.77
76,Japan,JPN,0.8,39918.17
77,Kazakhstan,KAZ,0.63,9121.64
78,Kenya,KEN,0.55,1872.12
79,Kyrgyz Republic,KGZ,0.6,1182.52
80,Cambodia,KHM,0.49,1547.51
81,Kiribati,KIR,0.49,1514.59
82,St. Kitts and Nevis,KNA,0.59,18440.85
83,"Korea, Rep.",KOR,0.8,31597.5
84,Kuwait,KWT,0.56,24811.77
