,Country Code,GDPpc,Population
0,AFE,1557.722682,694665117
1,AFW,1774.921218,470898870
2,AGO,2137.909393,33933611
3,ALB,6494.385713,2811666
4,AND,43047.68627,77354
5,ARB,6412.38921,444517783
6,ARG,10729.23258,45808747
7,ARM,4670.008798,2968128
8,ATG,14900.7974,98728
9,AUS,59934.12941,25739256
10,AUT,53267.93275,8956279
11,AZE,5384.034998,10145212
12,BDI,236.7954142,12255429
13,BEL,51767.78857,11587882
14,BEN,1428.447177,12451031
15,BFA,918.1525819,21497097
16,BGD,2503.04388,166303494
17,BGR,11634.97102,6899125
18,BHR,22232.32523,1748295
19,BHS,28239.36671,396914
20,BIH,6916.438315,3263459
21,BLR,7303.696266,9340314
22,BLZ,4420.491372,404915
23,BMU,110869.4631,63867
24,BOL,3414.892849,11832936
25,BRA,7518.834284,213993441
26,BRB,17033.93719,287708
27,BRN,31722.66014,441532
28,BWA,7347.552382,2397240
29,CAF,511.4847456,4919987
30,CAN,52051.35146,38246108
31,CEB,18568.99338,101669618
32,CHE,93457.4404,8697723
33,CHL,16502.83857,19212362
34,CHN,12556.33312,1412360000
35,CIV,2578.760412,27053629
36,CMR,1661.702105,27224262
37,COD,584.1064092,92377986
38,COG,2213.880863,5657017
39,COL,6131.225922,51265841
40,COM,1494.687693,888456
41,CPV,3445.756536,561901
42,CRI,12508.61563,5139053
43,CSS,9352.282028,7481631
44,CYP,30798.47656,1215588
45,CZE,26378.49996,10703446
46,DEU,50801.78671,83129285
47,DJI,3363.712048,1002197
48,DMA,7559.975039,72172
49,DNK,67803.0471,5856733
50,DOM,8603.789905,10953714
51,DZA,3765.034625,44616626
52,EAP,9776.493809,2122086315
53,EAR,3739.95779,3373866849
54,EAS,13037.46264,2368622859
55,ECA,8708.063638,401828885
56,ECS,27114.27599,923753699
57,ECU,5934.875496,17888474
58,EGY,3876.359594,104258327
59,EMU,42307.72904,342566541
60,ESP,30115.70589,47326687
61,EST,27280.65844,1329254
62,ETH,943.9656842,117876226
63,EUU,38234.1346,446946712
64,FCS,1826.396401,982980816
65,FIN,53982.61427,5541696
66,FJI,5085.971642,902899
