,date,variable,value
0,April 1986,General Betting Duty,24795.0
1,May 1986,General Betting Duty,35063.0
2,June 1986,General Betting Duty,33240.0
3,July 1986,General Betting Duty,32345.0
4,August 1986,General Betting Duty,30631.0
5,September 1986,General Betting Duty,32603.0
6,October 1986,General Betting Duty,30661.0
7,November 1986,General Betting Duty,30191.0
8,December 1986,General Betting Duty,20050.0
9,January 1987,General Betting Duty,28526.0
10,February 1987,General Betting Duty,22595.0
11,March 1987,General Betting Duty,23728.0
12,April 1987,General Betting Duty,23306.0
13,May 1987,General Betting Duty,35028.0
14,June 1987,General Betting Duty,36191.0
15,July 1987,General Betting Duty,33726.0
16,August 1987,General Betting Duty,32876.0
17,September 1987,General Betting Duty,30283.0
18,October 1987,General Betting Duty,28159.0
19,November 1987,General Betting Duty,33683.0
20,December 1987,General Betting Duty,23214.0
21,January 1988,General Betting Duty,24398.0
22,February 1988,General Betting Duty,33366.0
23,March 1988,General Betting Duty,24628.0
24,April 1988,General Betting Duty,31120.0
25,May 1988,General Betting Duty,38004.0
26,June 1988,General Betting Duty,41678.0
27,July 1988,General Betting Duty,32003.0
28,August 1988,General Betting Duty,38729.0
29,September 1988,General Betting Duty,31696.0
30,October 1988,General Betting Duty,38943.0
31,November 1988,General Betting Duty,34216.0
32,December 1988,General Betting Duty,26799.0
33,January 1989,General Betting Duty,36474.0
34,February 1989,General Betting Duty,32053.0
35,March 1989,General Betting Duty,35480.0
36,April 1989,General Betting Duty,37036.0
37,May 1989,General Betting Duty,43732.0
38,June 1989,General Betting Duty,34211.0
39,July 1989,General Betting Duty,45180.0
40,August 1989,General Betting Duty,40451.0
41,September 1989,General Betting Duty,36805.0
42,October 1989,General Betting Duty,41049.0
43,November 1989,General Betting Duty,38332.0
44,December 1989,General Betting Duty,33051.0
45,January 1990,General Betting Duty,36758.0
46,February 1990,General Betting Duty,40144.0
47,March 1990,General Betting Duty,32000.0
48,April 1990,General Betting Duty,41450.0
49,May 1990,General Betting Duty,50505.0
50,June 1990,General Betting Duty,42258.0
51,July 1990,General Betting Duty,43196.0
52,August 1990,General Betting Duty,43310.0
53,September 1990,General Betting Duty,39733.0
54,October 1990,General Betting Duty,42200.0
55,November 1990,General Betting Duty,43817.0
56,December 1990,General Betting Duty,37402.0
57,January 1991,General Betting Duty,35390.0
58,February 1991,General Betting Duty,35539.0
59,March 1991,General Betting Duty,24264.0
60,April 1991,General Betting Duty,42107.0
61,May 1991,General Betting Duty,46358.0
62,June 1991,General Betting Duty,41958.0
63,July 1991,General Betting Duty,44732.0
64,August 1991,General Betting Duty,39403.0
65,September 1991,General Betting Duty,39794.0
66,October 1991,General Betting Duty,40816.0
67,November 1991,General Betting Duty,43668.0
68,December 1991,General Betting Duty,36011.0
69,January 1992,General Betting Duty,34358.0
70,February 1992,General Betting Duty,36497.0
71,March 1992,General Betting Duty,35866.0
72,April 1992,General Betting Duty,40396.0
73,May 1992,General Betting Duty,43916.0
74,June 1992,General Betting Duty,39711.0
75,July 1992,General Betting Duty,41540.0
76,August 1992,General Betting Duty,41138.0
77,September 1992,General Betting Duty,38858.0
78,October 1992,General Betting Duty,40665.0
79,November 1992,General Betting Duty,42090.0
80,December 1992,General Betting Duty,33699.0
81,January 1993,General Betting Duty,35539.0
82,February 1993,General Betting Duty,36560.0
83,March 1993,General Betting Duty,39596.0
84,April 1993,General Betting Duty,41924.0
85,May 1993,General Betting Duty,45038.0
86,June 1993,General Betting Duty,45105.0
87,July 1993,General Betting Duty,46733.0
88,August 1993,General Betting Duty,48695.0
89,September 1993,General Betting Duty,43478.0
90,October 1993,General Betting Duty,41215.0
91,November 1993,General Betting Duty,40542.0
92,December 1993,General Betting Duty,33981.0
93,January 1994,General Betting Duty,33906.0
94,February 1994,General Betting Duty,37955.0
95,March 1994,General Betting Duty,36287.0
96,April 1994,General Betting Duty,40293.0
97,May 1994,General Betting Duty,49311.0
98,June 1994,General Betting Duty,48768.0
99,July 1994,General Betting Duty,47756.0
100,August 1994,General Betting Duty,48571.0
101,September 1994,General Betting Duty,43720.0
102,October 1994,General Betting Duty,45505.0
103,November 1994,General Betting Duty,41322.0
104,December 1994,General Betting Duty,35371.0
105,January 1995,General Betting Duty,34182.0
106,February 1995,General Betting Duty,34349.0
107,March 1995,General Betting Duty,39434.0
108,April 1995,General Betting Duty,39478.0
109,May 1995,General Betting Duty,51520.0
110,June 1995,General Betting Duty,47311.0
111,July 1995,General Betting Duty,50498.0
112,August 1995,General Betting Duty,46371.0
113,September 1995,General Betting Duty,40428.0
114,October 1995,General Betting Duty,41889.0
115,November 1995,General Betting Duty,40989.0
116,December 1995,General Betting Duty,34830.0
117,January 1996,General Betting Duty,29705.0
118,February 1996,General Betting Duty,29363.0
119,March 1996,General Betting Duty,36874.0
120,April 1996,General Betting Duty,40406.0
121,May 1996,General Betting Duty,38910.0
122,June 1996,General Betting Duty,41064.0
123,July 1996,General Betting Duty,43925.0
124,August 1996,General Betting Duty,40268.0
125,September 1996,General Betting Duty,39782.0
126,October 1996,General Betting Duty,36090.0
127,November 1996,General Betting Duty,38608.0
128,December 1996,General Betting Duty,33485.0
129,January 1997,General Betting Duty,35024.0
130,February 1997,General Betting Duty,31340.0
131,March 1997,General Betting Duty,34587.0
132,April 1997,General Betting Duty,37724.0
133,May 1997,General Betting Duty,40901.0
134,June 1997,General Betting Duty,44270.0
135,July 1997,General Betting Duty,43956.0
136,August 1997,General Betting Duty,39947.0
137,September 1997,General Betting Duty,38088.0
138,October 1997,General Betting Duty,34988.0
139,November 1997,General Betting Duty,41215.0
140,December 1997,General Betting Duty,37588.0
141,January 1998,General Betting Duty,34106.0
142,February 1998,General Betting Duty,34610.0
143,March 1998,General Betting Duty,35016.0
144,April 1998,General Betting Duty,40235.0
145,May 1998,General Betting Duty,42883.0
146,June 1998,General Betting Duty,44967.0
147,July 1998,General Betting Duty,47451.0
148,August 1998,General Betting Duty,44703.0
149,September 1998,General Betting Duty,38973.0
150,October 1998,General Betting Duty,38534.0
151,November 1998,General Betting Duty,41770.0
152,December 1998,General Betting Duty,35410.0
153,January 1999,General Betting Duty,33234.0
154,February 1999,General Betting Duty,35026.0
155,March 1999,General Betting Duty,36668.0
156,April 1999,General Betting Duty,42454.0
157,May 1999,General Betting Duty,43059.0
158,June 1999,General Betting Duty,45642.0
159,July 1999,General Betting Duty,47954.0
160,August 1999,General Betting Duty,49003.0
161,September 1999,General Betting Duty,40216.0
162,October 1999,General Betting Duty,42350.0
163,November 1999,General Betting Duty,40305.0
164,December 1999,General Betting Duty,35943.0
165,January 2000,General Betting Duty,33453.0
166,February 2000,General Betting Duty,36336.0
167,March 2000,General Betting Duty,35722.0
168,April 2000,General Betting Duty,42100.0
169,May 2000,General Betting Duty,40876.0
170,June 2000,General Betting Duty,43218.0
171,July 2000,General Betting Duty,50909.0
172,August 2000,General Betting Duty,47268.0
173,September 2000,General Betting Duty,45024.0
174,October 2000,General Betting Duty,40597.0
175,November 2000,General Betting Duty,37801.0
176,December 2000,General Betting Duty,35013.0
177,January 2001,General Betting Duty,35048.0
178,February 2001,General Betting Duty,36258.0
179,March 2001,General Betting Duty,33308.0
180,April 2001,General Betting Duty,33777.0
181,May 2001,General Betting Duty,44251.0
182,June 2001,General Betting Duty,46330.0
183,July 2001,General Betting Duty,53138.0
184,August 2001,General Betting Duty,50092.0
185,September 2001,General Betting Duty,47742.0
186,October 2001,General Betting Duty,57525.0
187,November 2001,General Betting Duty,1424.0
188,December 2001,General Betting Duty,35121.0
189,January 2002,General Betting Duty,17942.0
190,February 2002,General Betting Duty,22324.0
191,March 2002,General Betting Duty,22900.0
192,April 2002,General Betting Duty,26333.0
193,May 2002,General Betting Duty,26589.0
194,June 2002,General Betting Duty,22849.0
195,July 2002,General Betting Duty,32376.0
196,August 2002,General Betting Duty,20996.0
197,September 2002,General Betting Duty,25806.0
198,October 2002,General Betting Duty,24580.0
199,November 2002,General Betting Duty,25850.0
200,December 2002,General Betting Duty,22493.0
201,January 2003,General Betting Duty,23824.0
202,February 2003,General Betting Duty,23400.0
203,March 2003,General Betting Duty,28740.0
204,April 2003,General Betting Duty,25073.0
205,May 2003,General Betting Duty,33390.0
206,June 2003,General Betting Duty,30404.0
207,July 2003,General Betting Duty,33053.0
208,August 2003,General Betting Duty,30760.0
209,September 2003,General Betting Duty,33089.0
210,October 2003,General Betting Duty,33091.0
211,November 2003,General Betting Duty,33742.0
212,December 2003,General Betting Duty,30746.0
213,January 2004,General Betting Duty,32987.0
214,February 2004,General Betting Duty,30591.0
215,March 2004,General Betting Duty,35663.0
216,April 2004,General Betting Duty,42556.0
217,May 2004,General Betting Duty,41946.0
218,June 2004,General Betting Duty,31995.0
219,July 2004,General Betting Duty,43637.0
220,August 2004,General Betting Duty,40007.0
221,September 2004,General Betting Duty,32500.0
222,October 2004,General Betting Duty,34594.0
223,November 2004,General Betting Duty,38769.0
224,December 2004,General Betting Duty,32004.0
225,January 2005,General Betting Duty,31745.0
226,February 2005,General Betting Duty,39223.0
227,March 2005,General Betting Duty,33935.0
228,April 2005,General Betting Duty,38126.0
229,May 2005,General Betting Duty,41054.0
230,June 2005,General Betting Duty,37579.0
231,July 2005,General Betting Duty,33893.0
232,August 2005,General Betting Duty,48539.0
233,September 2005,General Betting Duty,36448.0
234,October 2005,General Betting Duty,36563.0
235,November 2005,General Betting Duty,36163.0
236,December 2005,General Betting Duty,34726.0
237,January 2006,General Betting Duty,30420.0
238,February 2006,General Betting Duty,29953.0
239,March 2006,General Betting Duty,29312.0
240,April 2006,General Betting Duty,26166.0
241,May 2006,General Betting Duty,38320.0
242,June 2006,General Betting Duty,28394.0
243,July 2006,General Betting Duty,41375.0
244,August 2006,General Betting Duty,26015.0
245,September 2006,General Betting Duty,29471.0
246,October 2006,General Betting Duty,32239.0
247,November 2006,General Betting Duty,28590.0
248,December 2006,General Betting Duty,29301.0
249,January 2007,General Betting Duty,34131.0
250,February 2007,General Betting Duty,28339.0
251,March 2007,General Betting Duty,30422.0
252,April 2007,General Betting Duty,36427.0
253,May 2007,General Betting Duty,34243.0
254,June 2007,General Betting Duty,34404.0
255,July 2007,General Betting Duty,44646.0
256,August 2007,General Betting Duty,27398.0
257,September 2007,General Betting Duty,33284.0
258,October 2007,General Betting Duty,30635.0
259,November 2007,General Betting Duty,34916.0
260,December 2007,General Betting Duty,40461.0
261,January 2008,General Betting Duty,38519.0
262,February 2008,General Betting Duty,31163.0
263,March 2008,General Betting Duty,37516.0
264,April 2008,General Betting Duty,43572.0
265,May 2008,General Betting Duty,38828.0
266,June 2008,General Betting Duty,29434.0
267,July 2008,General Betting Duty,31997.0
268,August 2008,General Betting Duty,27938.0
269,September 2008,General Betting Duty,29453.0
270,October 2008,General Betting Duty,29273.0
271,November 2008,General Betting Duty,30087.0
272,December 2008,General Betting Duty,35284.0
273,January 2009,General Betting Duty,32615.0
274,February 2009,General Betting Duty,29235.0
275,March 2009,General Betting Duty,30829.0
276,April 2009,General Betting Duty,28814.0
277,May 2009,General Betting Duty,35335.0
278,June 2009,General Betting Duty,28408.0
