DATE,JTSJOL
01/12/2000,5088
01/01/2001,5234
01/02/2001,5097
01/03/2001,4762
01/04/2001,4615
01/05/2001,4425
01/06/2001,4361
01/07/2001,4447
01/08/2001,4024
01/09/2001,4071
01/10/2001,3707
01/11/2001,3775
01/12/2001,3677
01/01/2002,3699
01/02/2002,3436
01/03/2002,3612
01/04/2002,3471
01/05/2002,3457
01/06/2002,3412
01/07/2002,3367
01/08/2002,3517
01/09/2002,3301
01/10/2002,3479
01/11/2002,3514
01/12/2002,3169
01/01/2003,3441
01/02/2003,3229
01/03/2003,3099
01/04/2003,3108
01/05/2003,3289
01/06/2003,3390
01/07/2003,2981
01/08/2003,3190
01/09/2003,3091
01/10/2003,3305
01/11/2003,3324
01/12/2003,3414
01/01/2004,3424
01/02/2004,3532
01/03/2004,3525
01/04/2004,3511
01/05/2004,3710
01/06/2004,3337
01/07/2004,3814
01/08/2004,3541
01/09/2004,3821
01/10/2004,3943
01/11/2004,3472
01/12/2004,4074
01/01/2005,3804
01/02/2005,3965
01/03/2005,4044
01/04/2005,4159
01/05/2005,3797
01/06/2005,4062
01/07/2005,4256
01/08/2005,4142
01/09/2005,4352
01/10/2005,4184
01/11/2005,4248
01/12/2005,4282
01/01/2006,4397
01/02/2006,4325
01/03/2006,4732
01/04/2006,4790
01/05/2006,4463
01/06/2006,4614
01/07/2006,4394
01/08/2006,4710
01/09/2006,4737
01/10/2006,4591
01/11/2006,4645
01/12/2006,4620
01/01/2007,4763
01/02/2007,4699
01/03/2007,4962
01/04/2007,4689
01/05/2007,4657
01/06/2007,4859
01/07/2007,4598
01/08/2007,4546
01/09/2007,4652
01/10/2007,4636
01/11/2007,4646
01/12/2007,4545
01/01/2008,4624
01/02/2008,4279
01/03/2008,4225
01/04/2008,4035
01/05/2008,4194
01/06/2008,3830
01/07/2008,3749
01/08/2008,3674
01/09/2008,3222
01/10/2008,3377
01/11/2008,3231
01/12/2008,3146
01/01/2009,2738
01/02/2009,2864
01/03/2009,2534
01/04/2009,2295
01/05/2009,2549
01/06/2009,2503
01/07/2009,2232
01/08/2009,2338
01/09/2009,2487
01/10/2009,2406
01/11/2009,2503
01/12/2009,2568
01/01/2010,2837
01/02/2010,2666
01/03/2010,2679
01/04/2010,3153
01/05/2010,2988
01/06/2010,2801
01/07/2010,3082
01/08/2010,2999
01/09/2010,2918
01/10/2010,3235
01/11/2010,3211
01/12/2010,3058
01/01/2011,3104
01/02/2011,3226
01/03/2011,3261
01/04/2011,3259
01/05/2011,3179
01/06/2011,3455
01/07/2011,3623
01/08/2011,3329
01/09/2011,3774
01/10/2011,3619
01/11/2011,3565
01/12/2011,3768
01/01/2012,3909
01/02/2012,3616
01/03/2012,3979
01/04/2012,3793
01/05/2012,3835
01/06/2012,3911
01/07/2012,3735
01/08/2012,3809
01/09/2012,3882
01/10/2012,3775
01/11/2012,3878
01/12/2012,3970
01/01/2013,3923
01/02/2013,4004
01/03/2013,4076
01/04/2013,3988
01/05/2013,4145
01/06/2013,4150
01/07/2013,3885
01/08/2013,4085
01/09/2013,4128
01/10/2013,4222
01/11/2013,4119
01/12/2013,4121
01/01/2014,4127
01/02/2014,4373
01/03/2014,4388
01/04/2014,4566
01/05/2014,4747
01/06/2014,4982
01/07/2014,4846
01/08/2014,5349
01/09/2014,4914
01/10/2014,5012
01/11/2014,4843
01/12/2014,5130
01/01/2015,5344
01/02/2015,5466
01/03/2015,5210
01/04/2015,5598
01/05/2015,5563
01/06/2015,5248
01/07/2015,6056
01/08/2015,5467
01/09/2015,5488
01/10/2015,5773
01/11/2015,5708
01/12/2015,5845
01/01/2016,6012
01/02/2016,5770
01/03/2016,6129
01/04/2016,5803
01/05/2016,5777
01/06/2016,5742
01/07/2016,5962
01/08/2016,5677
01/09/2016,5868
01/10/2016,5591
01/11/2016,5971
01/12/2016,5964
01/01/2017,5617
01/02/2017,5923
01/03/2017,5811
01/04/2017,6091
01/05/2017,5826
01/06/2017,6305
01/07/2017,6238
01/08/2017,6276
01/09/2017,6320
01/10/2017,6408
01/11/2017,6271
01/12/2017,6336
01/01/2018,6589
01/02/2018,6578
01/03/2018,6818
01/04/2018,6903
01/05/2018,6996
01/06/2018,7237
01/07/2018,7196
01/08/2018,7211
01/09/2018,7340
01/10/2018,7365
01/11/2018,7558
01/12/2018,7435
01/01/2019,7473
01/02/2019,7058
01/03/2019,7320
01/04/2019,7224
01/05/2019,7295
01/06/2019,7147
01/07/2019,7080
01/08/2019,7142
01/09/2019,7100
01/10/2019,7417
01/11/2019,6896
01/12/2019,6741
01/01/2020,7161
01/02/2020,7006
01/03/2020,5919
01/04/2020,4709
01/05/2020,5441
01/06/2020,6039
01/07/2020,6621
01/08/2020,6315
01/09/2020,6494
01/10/2020,6874
01/11/2020,6844
01/12/2020,6938
01/01/2021,7232
01/02/2021,7860
01/03/2021,8480
01/04/2021,9265
01/05/2021,9639
01/06/2021,9852
01/07/2021,10783
01/08/2021,10629
01/09/2021,10673
01/10/2021,11094
01/11/2021,10922
01/12/2021,11448
01/01/2022,11283
01/02/2022,11344
01/03/2022,11855
01/04/2022,11681
01/05/2022,11303
01/06/2022,11040
01/07/2022,11170
01/08/2022,10280
01/09/2022,10717
