,Country,Number
0,Algeria,3.0
1,Angola,3.0
2,Benin,7.0
3,Botswana,10.0
4,Burundi,1.0
5,Cameroon,2.0
6,Democratic Republic of the Congo,2.0
7,Djibouti,2.0
8,Egypt,28.0
9,Equatorial Guinea,7.0
10,Gabon,1.0
11,Gambia,1.0
12,Ghana,9.0
13,Guinea,1.0
14,Ivory Coast,1.0
15,Kenya,21.0
16,Lesotho,1.0
17,Liberia,2.0
18,Madagascar,4.0
19,Malawi,5.0
20,Mali,1.0
21,Morocco,7.0
22,Mozambique,7.0
23,Namibia,3.0
24,Nigeria,9.0
25,Rwanda,2.0
26,Senegal,7.0
27,Sierra Leone,3.0
28,South Africa,79.0
29,Swaziland,4.0
30,United Republic of Tanzania,8.0
31,Togo,1.0
32,Tunisia,4.0
33,Uganda,8.0
34,Zambia,8.0
35,Zimbabwe,10.0
36,Armenia,5.0
37,Bahrain,1.0
38,Cambodia,49.0
39,China,54.0
40,India,23.0
41,Iraq,1.0
42,Israel,6.0
43,Japan,26.0
44,Kazakhstan,8.0
45,Laos,3.0
46,Lebanon,2.0
47,Malaysia,5.0
48,Myanmar,5.0
49,Nepal,13.0
50,North Korea,2.0
51,Philippines,70.0
52,Saudi Arabia,1.0
53,South Korea,21.0
54,Sri Lanka,10.0
55,Thailand,2.0
56,Turkey,9.0
57,Turkmenistan,2.0
58,United Arab Emirates,4.0
59,Vietnam,35.0
60,Canada,198.0
61,Mexico,365.0
62,United States of America,2852.0
63,The Bahamas,3.0
64,"Bonaire, Sint Eustatius and Saba",2.0
65,Dominican Republic,36.0
66,Jamaica,64.0
67,Puerto Rico,18.0
68,Trinidad and Tobago,11.0
69,Argentina,172.0
70,Belize,6.0
71,Brazil,4.0
72,Chile,30.0
73,Colombia,105.0
74,Costa Rica,46.0
75,El Salvador,2.0
76,Guatemala,5.0
77,Guyana,2.0
78,Honduras,3.0
79,Nicaragua,19.0
80,Panama,49.0
81,Paraguay,9.0
82,Peru,58.0
83,Suriname,6.0
84,Uruguay,35.0
85,Venezuela,17.0
86,Australia,666.0
87,New Caledonia,2.0
88,New Zealand,70.0
89,Papua New Guinea,1.0
90,Solomon Islands,2.0
91,Vanuatu,4.0
92,Albania,1.0
93,Austria,41.0
94,Belarus,39.0
95,Belgium,180.0
96,Bosnia and Herzegovina,26.0
97,Bulgaria,88.0
98,Croatia,113.0
99,Cyprus,30.0
100,Czech Republic,304.0
101,Denmark,19.0
102,Estonia,56.0
103,Finland,128.0
104,France,461.0
105,Georgia,14.0
106,Germany,430.0
107,Greece,11.0
108,Hungary,11.0
109,Ireland,80.0
110,Italy,22.0
111,Kosovo,1.0
112,Latvia,106.0
113,Lithuania,130.0
114,Luxembourg,1.0
115,Macedonia,57.0
116,Malta,5.0
117,Moldova,4.0
118,Montenegro,5.0
119,Netherlands,152.0
120,Norway,2.0
121,Poland,49.0
122,Portugal,11.0
123,Romania,50.0
124,Russia,46.0
125,Russia,46.0
126,Republic of Serbia,40.0
127,Slovakia,42.0
128,Slovenia,40.0
129,Spain,85.0
130,Sweden,50.0
131,Switzerland,32.0
132,United Kingdom,755.0
133,South Sudan,
134,Bhutan,
135,French Guiana,
136,Ethiopia,
137,Bermuda,
138,Burkina Faso,
139,Guinea Bissau,
140,Mauritania,
141,Mongolia,
142,Haiti,
143,Oman,
144,Greenland,
145,Eritrea,
146,Somalia,
147,Syria,
148,Libya,
149,Somaliland,
150,Chad,
151,Ukraine,
152,Kyrgyzstan,
153,Niger,
154,Falkland Islands,
155,Afghanistan,
156,West Bank,
157,Iran,
158,East Timor,
159,Kuwait,
160,Republic of the Congo,
161,Uzbekistan,
162,Ecuador,
163,Qatar,
164,Indonesia,
165,Indonesia,
166,Taiwan,
167,Iceland,
168,Cuba,
169,French Southern and Antarctic Lands,
170,Western Sahara,
171,Brunei,
172,Sudan,
173,Jordan,
174,Central African Republic,
175,Bolivia,
176,Yemen,
177,Tajikistan,
178,Fiji,
179,Bangladesh,
180,Northern Cyprus,
181,Pakistan,
182,Azerbaijan,
