,year,variable,value
0,1990,General Betting Duty,492773.0
1,1991,General Betting Duty,470040.0
2,1992,General Betting Duty,468734.0
3,1993,General Betting Duty,498406.0
4,1994,General Betting Duty,508765.0
5,1995,General Betting Duty,501279.0
6,1996,General Betting Duty,448480.0
7,1997,General Betting Duty,459628.0
8,1998,General Betting Duty,478658.0
9,1999,General Betting Duty,491853.0
10,2000,General Betting Duty,488316.0
11,2001,General Betting Duty,474013.0
12,2002,General Betting Duty,291038.0
13,2003,General Betting Duty,359312.0
14,2004,General Betting Duty,437249.0
15,2005,General Betting Duty,447994.0
16,2006,General Betting Duty,369557.0
17,2007,General Betting Duty,409308.0
18,2008,General Betting Duty,403065.0
19,2009,General Betting Duty,344351.0
20,2010,General Betting Duty,333982.0
21,2011,General Betting Duty,317978.0
22,2012,General Betting Duty,354850.0
23,2013,General Betting Duty,393160.0
24,2014,General Betting Duty,391746.0
25,2015,General Betting Duty,377907.0
26,2016,General Betting Duty,535819.0
27,2017,General Betting Duty,533980.0
28,2018,General Betting Duty,635867.0
29,2019,General Betting Duty,595782.0
30,2020,General Betting Duty,573230.0
31,2021,General Betting Duty,635107.0
32,1990,Pool Betting Duty,310542.0
33,1991,Pool Betting Duty,302755.0
34,1992,Pool Betting Duty,324498.0
35,1993,Pool Betting Duty,345505.0
36,1994,Pool Betting Duty,339591.0
37,1995,Pool Betting Duty,242082.0
38,1996,Pool Betting Duty,130930.0
39,1997,Pool Betting Duty,102921.0
40,1998,Pool Betting Duty,75499.0
41,1999,Pool Betting Duty,44751.0
42,2000,Pool Betting Duty,31818.0
43,2001,Pool Betting Duty,26429.0
44,2002,Pool Betting Duty,18623.0
45,2003,Pool Betting Duty,13800.0
46,2004,Pool Betting Duty,12347.0
47,2005,Pool Betting Duty,11220.0
48,2006,Pool Betting Duty,10211.0
49,2007,Pool Betting Duty,9151.0
50,2008,Pool Betting Duty,9033.0
51,2009,Pool Betting Duty,8996.0
52,2010,Pool Betting Duty,20799.0
53,2011,Pool Betting Duty,20738.0
54,2012,Pool Betting Duty,19854.0
55,2013,Pool Betting Duty,21526.0
56,2014,Pool Betting Duty,17526.0
57,2015,Pool Betting Duty,3815.0
58,2016,Pool Betting Duty,4481.0
59,2017,Pool Betting Duty,4839.0
60,2018,Pool Betting Duty,5465.0
61,2019,Pool Betting Duty,5826.0
62,2020,Pool Betting Duty,8235.0
63,2021,Pool Betting Duty,9160.0
64,1990,Betting Total,803315.0
65,1991,Betting Total,772795.0
66,1992,Betting Total,793232.0
67,1993,Betting Total,843911.0
68,1994,Betting Total,848356.0
69,1995,Betting Total,743361.0
70,1996,Betting Total,579410.0
71,1997,Betting Total,562549.0
72,1998,Betting Total,554157.0
73,1999,Betting Total,536604.0
74,2000,Betting Total,520134.0
75,2001,Betting Total,500443.0
76,2002,Betting Total,309661.0
77,2003,Betting Total,373112.0
78,2004,Betting Total,449596.0
79,2005,Betting Total,459214.0
80,2006,Betting Total,379767.0
81,2007,Betting Total,418459.0
82,2008,Betting Total,412098.0
83,2009,Betting Total,353347.0
84,2010,Betting Total,354781.0
85,2011,Betting Total,338716.0
86,2012,Betting Total,374704.0
87,2013,Betting Total,414686.0
88,2014,Betting Total,409273.0
89,2015,Betting Total,381722.0
90,2016,Betting Total,540299.0
91,2017,Betting Total,538819.0
92,2018,Betting Total,641332.0
93,2019,Betting Total,601608.0
94,2020,Betting Total,581465.0
95,2021,Betting Total,644267.0
96,1990,Gaming Duty,55405.0
97,1991,Gaming Duty,59868.0
98,1992,Gaming Duty,91881.0
99,1993,Gaming Duty,78044.0
100,1994,Gaming Duty,72486.0
101,1995,Gaming Duty,82034.0
102,1996,Gaming Duty,80304.0
103,1997,Gaming Duty,90401.0
104,1998,Gaming Duty,90428.0
105,1999,Gaming Duty,103968.0
106,2000,Gaming Duty,123000.0
107,2001,Gaming Duty,125975.0
108,2002,Gaming Duty,146609.0
109,2003,Gaming Duty,144474.0
110,2004,Gaming Duty,158803.0
111,2005,Gaming Duty,129993.0
112,2006,Gaming Duty,146363.0
113,2007,Gaming Duty,158903.0
114,2008,Gaming Duty,162857.0
115,2009,Gaming Duty,163381.0
116,2010,Gaming Duty,173110.0
117,2011,Gaming Duty,183075.0
118,2012,Gaming Duty,229021.0
119,2013,Gaming Duty,287716.0
120,2014,Gaming Duty,317102.0
121,2015,Gaming Duty,225782.0
122,2016,Gaming Duty,270607.0
123,2017,Gaming Duty,319073.0
124,2018,Gaming Duty,224776.0
125,2019,Gaming Duty,213904.0
126,2020,Gaming Duty,76330.0
127,2021,Gaming Duty,56996.0
128,1990,Remote Gaming Duty,
129,1991,Remote Gaming Duty,
130,1992,Remote Gaming Duty,
131,1993,Remote Gaming Duty,
132,1994,Remote Gaming Duty,
133,1995,Remote Gaming Duty,
134,1996,Remote Gaming Duty,
135,1997,Remote Gaming Duty,
136,1998,Remote Gaming Duty,
137,1999,Remote Gaming Duty,
138,2000,Remote Gaming Duty,
139,2001,Remote Gaming Duty,
140,2002,Remote Gaming Duty,
141,2003,Remote Gaming Duty,
142,2004,Remote Gaming Duty,
143,2005,Remote Gaming Duty,
144,2006,Remote Gaming Duty,
145,2007,Remote Gaming Duty,
146,2008,Remote Gaming Duty,
147,2009,Remote Gaming Duty,
148,2010,Remote Gaming Duty,
149,2011,Remote Gaming Duty,
150,2012,Remote Gaming Duty,
151,2013,Remote Gaming Duty,
152,2014,Remote Gaming Duty,
153,2015,Remote Gaming Duty,249978.0
154,2016,Remote Gaming Duty,356376.0
155,2017,Remote Gaming Duty,399421.0
156,2018,Remote Gaming Duty,529007.0
157,2019,Remote Gaming Duty,649135.0
158,2020,Remote Gaming Duty,848417.0
159,2021,Remote Gaming Duty,961451.0
160,1990,Amusement Machine Licence Duty,98491.0
161,1991,Amusement Machine Licence Duty,97187.0
162,1992,Amusement Machine Licence Duty,93844.0
163,1993,Amusement Machine Licence Duty,95347.0
164,1994,Amusement Machine Licence Duty,104372.0
165,1995,Amusement Machine Licence Duty,113014.0
166,1996,Amusement Machine Licence Duty,129719.0
167,1997,Amusement Machine Licence Duty,132943.0
168,1998,Amusement Machine Licence Duty,142127.0
169,1999,Amusement Machine Licence Duty,162157.0
170,2000,Amusement Machine Licence Duty,156230.0
171,2001,Amusement Machine Licence Duty,154786.0
172,2002,Amusement Machine Licence Duty,150297.0
173,2003,Amusement Machine Licence Duty,146037.0
174,2004,Amusement Machine Licence Duty,155479.0
175,2005,Amusement Machine Licence Duty,152930.0
176,2006,Amusement Machine Licence Duty,205134.0
177,2007,Amusement Machine Licence Duty,217816.0
178,2008,Amusement Machine Licence Duty,216772.0
179,2009,Amusement Machine Licence Duty,211551.0
180,2010,Amusement Machine Licence Duty,217333.0
181,2011,Amusement Machine Licence Duty,225263.0
182,2012,Amusement Machine Licence Duty,181772.0
183,2013,Amusement Machine Licence Duty,11666.0
184,2014,Amusement Machine Licence Duty,495.0
185,2015,Amusement Machine Licence Duty,131.0
